streak_id,student_id,streak_active,streak_frozen,streak_created
833342,4422,1,0,"12/1/2022 2:41"
833343,351701,1,0,"12/1/2022 2:43"
833344,389942,1,0,"12/1/2022 2:44"
833345,396741,1,0,"12/1/2022 2:45"
833346,190803,1,0,"12/1/2022 2:45"
833347,24687,1,0,"12/1/2022 2:46"
833348,455150,1,0,"12/1/2022 2:46"
833349,198958,1,0,"12/1/2022 2:52"
833350,296105,1,0,"12/1/2022 2:53"
833351,297008,1,0,"12/1/2022 2:55"
833352,392756,1,0,"12/1/2022 3:01"
833353,310297,1,0,"12/1/2022 3:03"
833354,296107,1,0,"12/1/2022 3:03"
833355,407180,1,0,"12/1/2022 3:04"
833356,255149,1,0,"12/1/2022 3:10"
833357,455153,1,0,"12/1/2022 3:12"
833358,445438,1,0,"12/1/2022 3:14"
833359,454930,1,0,"12/1/2022 3:16"
833360,216187,1,0,"12/1/2022 3:19"
833361,384432,1,0,"12/1/2022 3:21"
833362,261446,1,0,"12/1/2022 3:21"
833363,293894,1,0,"12/1/2022 3:21"
833364,8223,1,0,"12/1/2022 3:22"
833365,300406,1,0,"12/1/2022 3:26"
833366,350429,1,0,"12/1/2022 3:27"
833367,296160,1,0,"12/1/2022 3:28"
833368,351307,1,0,"12/1/2022 3:31"
833369,329828,1,0,"12/1/2022 3:36"
833370,441571,1,0,"12/1/2022 3:36"
833371,2600,1,0,"12/1/2022 3:42"
833372,292491,1,0,"12/1/2022 3:42"
833373,443151,1,0,"12/1/2022 3:43"
833374,246328,1,0,"12/1/2022 3:44"
833375,279735,1,0,"12/1/2022 3:48"
833376,263579,1,0,"12/1/2022 3:49"
833377,291789,1,0,"12/1/2022 3:50"
833378,454947,1,0,"12/1/2022 3:50"
833379,261171,1,0,"12/1/2022 3:54"
833380,25813,1,0,"12/1/2022 3:55"
833381,286273,1,0,"12/1/2022 3:56"
833382,269323,1,0,"12/1/2022 3:56"
833383,389535,1,0,"12/1/2022 3:56"
833384,162406,1,0,"12/1/2022 3:58"
833385,291528,1,0,"12/1/2022 3:59"
833386,421192,1,0,"12/1/2022 4:00"
833387,273960,1,0,"12/1/2022 4:00"
833388,297035,1,0,"12/1/2022 4:01"
833389,455154,1,0,"12/1/2022 4:03"
833390,297248,1,0,"12/1/2022 4:06"
833391,281034,1,0,"12/1/2022 4:06"
833392,454424,1,0,"12/1/2022 4:06"
833393,2600,1,0,"12/1/2022 4:06"
833394,281022,1,0,"12/1/2022 4:08"
833395,311764,1,0,"12/1/2022 4:09"
833396,244135,1,0,"12/1/2022 4:10"
833397,275422,1,0,"12/1/2022 4:10"
833398,35260,1,0,"12/1/2022 4:11"
833399,307741,1,0,"12/1/2022 4:14"
833400,333749,1,0,"12/1/2022 4:15"
833401,272510,1,0,"12/1/2022 4:17"
833402,388890,1,0,"12/1/2022 4:18"
833403,184988,1,0,"12/1/2022 4:18"
833404,282507,1,0,"12/1/2022 4:21"
833405,301040,1,0,"12/1/2022 4:22"
833406,455156,1,0,"12/1/2022 4:24"
833407,453420,1,0,"12/1/2022 4:28"
833408,296813,1,0,"12/1/2022 4:29"
833409,388887,1,0,"12/1/2022 4:29"
833410,296812,1,0,"12/1/2022 4:31"
833411,447823,1,0,"12/1/2022 4:32"
833412,1522,1,0,"12/1/2022 4:32"
833413,404004,1,0,"12/1/2022 4:33"
833414,311560,1,0,"12/1/2022 4:34"
833415,30273,1,0,"12/1/2022 4:36"
833416,265260,1,0,"12/1/2022 4:39"
833417,258201,1,0,"12/1/2022 4:42"
833418,262459,1,0,"12/1/2022 4:43"
833419,448874,1,0,"12/1/2022 4:47"
833420,278851,1,0,"12/1/2022 4:51"
833421,360022,1,0,"12/1/2022 4:52"
833422,400441,1,0,"12/1/2022 4:52"
833423,358869,1,0,"12/1/2022 4:54"
833424,423874,1,0,"12/1/2022 4:56"
833425,452457,1,0,"12/1/2022 4:58"
833426,433431,1,0,"12/1/2022 5:00"
833427,453168,1,0,"12/1/2022 5:01"
833428,261810,1,0,"12/1/2022 5:01"
833429,354417,1,0,"12/1/2022 5:02"
833430,308016,1,0,"12/1/2022 5:03"
833431,262580,1,0,"12/1/2022 5:04"
833432,455150,1,0,"12/1/2022 5:07"
833433,16668,1,0,"12/1/2022 5:08"
833434,352216,1,0,"12/1/2022 5:13"
833435,455085,1,0,"12/1/2022 5:15"
833436,454186,1,0,"12/1/2022 5:18"
833437,330071,1,0,"12/1/2022 5:19"
833438,455160,1,0,"12/1/2022 5:20"
833439,150117,1,0,"12/1/2022 5:22"
833440,453093,1,0,"12/1/2022 5:22"
833441,4016,1,0,"12/1/2022 5:23"
833442,378517,1,0,"12/1/2022 5:24"
833443,332400,1,0,"12/1/2022 5:24"
833444,395797,1,0,"12/1/2022 5:24"
833445,289232,1,0,"12/1/2022 5:24"
833446,308287,1,0,"12/1/2022 5:24"
833447,455082,1,0,"12/1/2022 5:26"
833448,355038,1,0,"12/1/2022 5:30"
833449,228826,1,0,"12/1/2022 5:31"
833450,266548,1,0,"12/1/2022 5:31"
833451,435122,1,0,"12/1/2022 5:32"
833452,137618,1,0,"12/1/2022 5:34"
833453,169478,1,0,"12/1/2022 5:35"
833454,421330,1,0,"12/1/2022 5:36"
833455,195869,1,0,"12/1/2022 5:36"
833456,293843,1,0,"12/1/2022 5:38"
833457,378205,1,0,"12/1/2022 5:39"
833458,316337,1,0,"12/1/2022 5:46"
833459,343952,1,0,"12/1/2022 5:46"
833460,314918,1,0,"12/1/2022 5:46"
833461,265685,1,0,"12/1/2022 5:46"
833462,430316,1,0,"12/1/2022 5:48"
833463,354910,1,0,"12/1/2022 5:52"
833464,454422,1,0,"12/1/2022 5:53"
833465,454747,1,0,"12/1/2022 5:53"
833466,161742,1,0,"12/1/2022 5:58"
833467,330071,1,0,"12/1/2022 6:00"
833468,292641,1,0,"12/1/2022 6:00"
833469,343516,1,0,"12/1/2022 6:01"
833470,453937,1,0,"12/1/2022 6:02"
833471,337556,1,0,"12/1/2022 6:04"
833472,417605,1,0,"12/1/2022 6:04"
833473,433374,1,0,"12/1/2022 6:08"
833474,333166,1,0,"12/1/2022 6:08"
833475,262112,1,0,"12/1/2022 6:13"
833476,275045,1,0,"12/1/2022 6:18"
833477,269178,1,0,"12/1/2022 6:18"
833478,291183,1,0,"12/1/2022 6:19"
833479,217990,1,0,"12/1/2022 6:20"
833480,453644,1,0,"12/1/2022 6:23"
833481,290353,1,0,"12/1/2022 6:26"
833482,440139,1,0,"12/1/2022 6:26"
833483,287737,1,0,"12/1/2022 6:29"
833484,313260,1,0,"12/1/2022 6:29"
833485,370229,1,0,"12/1/2022 6:29"
833486,453000,1,0,"12/1/2022 6:30"
833487,425525,1,0,"12/1/2022 6:32"
833488,22887,1,0,"12/1/2022 6:35"
833489,434844,1,0,"12/1/2022 6:39"
833490,407557,1,0,"12/1/2022 6:42"
833491,289270,1,0,"12/1/2022 6:42"
833492,450711,1,0,"12/1/2022 6:43"
833493,389726,1,0,"12/1/2022 6:44"
833494,400949,1,0,"12/1/2022 6:45"
833495,230894,1,0,"12/1/2022 6:47"
833496,409983,1,0,"12/1/2022 6:47"
833497,389650,1,0,"12/1/2022 6:48"
833498,181440,1,0,"12/1/2022 6:48"
833499,401111,1,0,"12/1/2022 6:50"
833500,235095,1,0,"12/1/2022 6:50"
833501,422709,1,0,"12/1/2022 6:51"
833502,2270,1,0,"12/1/2022 6:52"
833503,230273,1,0,"12/1/2022 6:52"
833504,452832,1,0,"12/1/2022 6:52"
833505,437714,1,0,"12/1/2022 6:53"
833506,282739,1,0,"12/1/2022 6:54"
833507,451027,1,0,"12/1/2022 6:56"
833508,16257,1,0,"12/1/2022 6:56"
833509,336509,1,0,"12/1/2022 7:00"
833510,269038,1,0,"12/1/2022 7:00"
833511,217601,1,0,"12/1/2022 7:01"
833512,349988,1,0,"12/1/2022 7:02"
833513,431843,1,0,"12/1/2022 7:02"
833514,453051,1,0,"12/1/2022 7:02"
833515,343604,1,0,"12/1/2022 7:03"
833516,242698,1,0,"12/1/2022 7:03"
833517,393315,1,0,"12/1/2022 7:03"
833518,244031,1,0,"12/1/2022 7:04"
833519,176396,1,0,"12/1/2022 7:04"
833520,293592,1,0,"12/1/2022 7:04"
833521,255296,1,0,"12/1/2022 7:08"
833522,258710,1,0,"12/1/2022 7:09"
833523,265076,1,0,"12/1/2022 7:11"
833524,337395,1,0,"12/1/2022 7:12"
833525,278972,1,0,"12/1/2022 7:12"
833526,331394,1,0,"12/1/2022 7:12"
833527,151663,1,0,"12/1/2022 7:13"
833528,292650,1,0,"12/1/2022 7:13"
833529,451166,1,0,"12/1/2022 7:14"
833530,375567,1,0,"12/1/2022 7:14"
833531,350549,1,0,"12/1/2022 7:14"
833532,333153,1,0,"12/1/2022 7:16"
833533,270674,1,0,"12/1/2022 7:17"
833534,336864,1,0,"12/1/2022 7:17"
833535,175300,1,0,"12/1/2022 7:20"
833536,455173,1,0,"12/1/2022 7:21"
833537,454478,1,0,"12/1/2022 7:24"
833538,396305,1,0,"12/1/2022 7:25"
833539,297641,1,0,"12/1/2022 7:25"
833540,419581,1,0,"12/1/2022 7:26"
833541,453715,1,0,"12/1/2022 7:34"
833542,337022,1,0,"12/1/2022 7:35"
833543,454622,1,0,"12/1/2022 7:36"
833544,355358,1,0,"12/1/2022 7:36"
833545,234889,1,0,"12/1/2022 7:36"
833546,270675,1,0,"12/1/2022 7:38"
